Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
BL0 0AY,Yes,53.647646,-2.305269,379918,416837,SD799168,Ramsbottom,"Bury, unparished area",1980-01-01,,170,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0AZ,Yes,53.647603,-2.308112,379730,416833,SD797168,Ramsbottom,"Bury, unparished area",1980-01-01,,155,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BA,Yes,53.648670,-2.309635,379630,416952,SD796169,Ramsbottom,"Bury, unparished area",1980-01-01,,149,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BB,Yes,53.650724,-2.310571,379569,417181,SD795171,Ramsbottom,"Bury, unparished area",1980-01-01,,147,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BD,Yes,53.650021,-2.308510,379705,417102,SD797171,Ramsbottom,"Bury, unparished area",1980-01-01,,156,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BE,Yes,53.650115,-2.307225,379790,417112,SD797171,Ramsbottom,"Bury, unparished area",1980-01-01,,162,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BG,Yes,53.650038,-2.308994,379673,417104,SD796171,Ramsbottom,"Bury, unparished area",1980-01-01,,155,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BH,Yes,53.648800,-2.307956,379741,416966,SD797169,Ramsbottom,"Bury, unparished area",1980-01-01,,157,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BJ,Yes,53.647950,-2.309204,379658,416872,SD796168,Ramsbottom,"Bury, unparished area",1980-01-01,,149,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BL,Yes,53.648276,-2.304986,379937,416907,SD799169,Ramsbottom,"Bury, unparished area",1981-06-01,,173,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BN,Yes,53.648399,-2.309661,379628,416922,SD796169,Ramsbottom,"Bury, unparished area",2004-02-01,,150,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BQ,Yes,53.651352,-2.308353,379716,417250,SD797172,Ramsbottom,"Bury, unparished area",1980-01-01,,158,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BS,Yes,53.645881,-2.313470,379375,416643,SD793166,Ramsbottom,"Bury, unparished area",2019-01-01,,128,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0BT,Yes,53.647085,-2.310393,379579,416776,SD795167,Ramsbottom,"Bury, unparished area",1980-01-01,,142,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0BU,No,53.647939,-2.310218,379591,416871,SD795168,Ramsbottom,"Bury, unparished area",2017-12-01,2018-02-01,143,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0BW,Yes,53.647642,-2.303393,380042,416836,SD800168,Ramsbottom,"Bury, unparished area",2021-03-01,,170,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005022,Bury 003B,E01005022,Bury 003B
BL0 0BX,Yes,53.652202,-2.305604,379898,417344,SD798173,Ramsbottom,"Bury, unparished area",2022-10-01,,170,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0BY,Yes,53.645466,-2.307008,379802,416595,SD798165,Ramsbottom,"Bury, unparished area",1980-01-01,,155,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0BZ,Yes,53.645554,-2.305270,379917,416604,SD799166,Ramsbottom,"Bury, unparished area",1980-01-01,,166,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0DA,Yes,53.644852,-2.305538,379899,416526,SD798165,Ramsbottom,"Bury, unparished area",1980-01-01,,163,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0DB,Yes,53.644663,-2.304763,379950,416505,SD799165,Ramsbottom,"Bury, unparished area",1980-01-01,,168,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0DD,Yes,53.646013,-2.301401,380173,416654,SD801166,Ramsbottom,"Bury, unparished area",1980-01-01,,205,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005022,Bury 003B,E01005022,Bury 003B
BL0 0DE,Yes,53.649187,-2.303600,380029,417008,SD800170,Ramsbottom,"Bury, unparished area",1980-01-01,,189,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DF,Yes,53.649881,-2.303849,380013,417085,SD800170,Ramsbottom,"Bury, unparished area",1980-01-01,,187,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DG,Yes,53.652414,-2.304200,379991,417367,SD799173,Ramsbottom,"Bury, unparished area",1980-01-01,,179,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DH,Yes,53.646859,-2.303674,380023,416749,SD800167,Ramsbottom,"Bury, unparished area",1980-01-01,,184,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0DJ,No,53.647322,-2.302515,380100,416800,SD800167,Ramsbottom,"Bury, unparished area",1980-01-01,1994-05-01,196,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005022,Bury 003B,E01005022,Bury 003B
BL0 0DL,Yes,53.647993,-2.303957,380005,416875,SD800168,Ramsbottom,"Bury, unparished area",1980-01-01,,182,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DN,Yes,53.653162,-2.303631,380029,417450,SD800174,Ramsbottom,"Bury, unparished area",1980-01-01,,176,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DP,Yes,53.650049,-2.304197,379990,417104,SD799171,Ramsbottom,"Bury, unparished area",1980-01-01,,183,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DQ,Yes,53.653977,-2.301080,380198,417540,SD801175,Ramsbottom,"Bury, unparished area",2001-06-01,,172,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DR,Yes,53.651650,-2.304497,379971,417282,SD799172,Ramsbottom,"Bury, unparished area",1980-01-01,,178,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DS,Yes,53.652422,-2.304609,379964,417368,SD799173,Ramsbottom,"Bury, unparished area",1980-01-01,,176,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DT,No,53.645477,-2.320654,378900,416600,SD788165,Ramsbottom,"Bury, unparished area",1980-01-01,1998-06-01,157,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005016,Bury 001C,E01005016,Bury 001C
BL0 0DU,Yes,53.652519,-2.308816,379686,417380,SD796173,Ramsbottom,"Bury, unparished area",1980-01-01,,156,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DW,Yes,53.652442,-2.303094,380064,417370,SD800173,Ramsbottom,"Bury, unparished area",1980-01-01,,187,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DX,Yes,53.653018,-2.303554,380034,417434,SD800174,Ramsbottom,"Bury, unparished area",1980-01-01,,178,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0DZ,Yes,53.653333,-2.302753,380087,417469,SD800174,Ramsbottom,"Bury, unparished area",1980-01-01,,178,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0EA,Yes,53.653074,-2.302949,380074,417440,SD800174,Ramsbottom,"Bury, unparished area",1980-01-01,,180,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0ED,Yes,53.654822,-2.303853,380015,417635,SD800176,Ramsbottom,"Bury, unparished area",1980-01-01,,172,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0EE,Yes,53.654924,-2.302749,380088,417646,SD800176,Ramsbottom,"Bury, unparished area",1980-01-01,,173,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0EF,Yes,53.655401,-2.303314,380051,417699,SD800176,Ramsbottom,"Bury, unparished area",1980-01-01,,176,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0EG,Yes,53.660182,-2.303318,380053,418231,SD800182,Ramsbottom,"Bury, unparished area",1980-01-01,,184,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0EH,Yes,53.655868,-2.303151,380062,417751,SD800177,Ramsbottom,"Bury, unparished area",1980-01-01,,180,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0EJ,Yes,53.655927,-2.304012,380005,417758,SD800177,Ramsbottom,"Bury, unparished area",1980-01-01,,179,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0EL,Yes,53.655240,-2.302935,380076,417681,SD800176,Ramsbottom,"Bury, unparished area",1999-12-01,,175,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0EP,Yes,53.657064,-2.303008,380072,417884,SD800178,Ramsbottom,"Bury, unparished area",1980-01-01,,184,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0EQ,Yes,53.661595,-2.301950,380144,418388,SD801183,Ramsbottom,"Bury, unparished area",1980-01-01,,184,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0ER,Yes,53.658024,-2.303741,380024,417991,SD800179,Ramsbottom,"Bury, unparished area",1980-01-01,,181,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0ES,Yes,53.662876,-2.303533,380040,418531,SD800185,Ramsbottom,"Bury, unparished area",1980-01-01,,182,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0FA,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2001-06-01,2006-04-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0FH,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",1999-06-01,2003-02-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0FN,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2000-12-01,2001-09-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0FR,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2000-06-01,2003-01-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0FU,Yes,53.646183,-2.304623,379960,416674,SD799166,Ramsbottom,"Bury, unparished area",2021-08-01,,177,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0FW,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2000-06-01,2003-05-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0FX,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2000-12-01,2001-10-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0FY,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2000-12-01,2001-10-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0FZ,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2000-12-01,2001-11-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0GA,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",1994-12-01,2000-10-01,84,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0GB,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2000-12-01,2001-11-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0GD,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2000-12-01,2006-11-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0GE,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2000-12-01,2001-12-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0GG,Yes,53.652105,-2.305059,379934,417333,SD799173,Ramsbottom,"Bury, unparished area",2022-11-01,,173,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0GN,Yes,53.649881,-2.313227,379393,417088,SD793170,Ramsbottom,"Bury, unparished area",2022-08-01,,200,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0GP,Yes,53.649881,-2.313227,379393,417088,SD793170,Ramsbottom,"Bury, unparished area",2024-01-01,,131,England,2024-09-06,Imputed by ONS by reference to surrounding postcode grid references,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0HD,Yes,53.650143,-2.303064,380065,417114,SD800171,Ramsbottom,"Bury, unparished area",1980-01-01,,193,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0HH,Yes,53.653928,-2.302167,380126,417535,SD801175,Ramsbottom,"Bury, unparished area",1980-01-01,,175,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0ND,Yes,53.658611,-2.309753,379627,418058,SD796180,Ramsbottom,"Bury, unparished area",1980-01-01,,152,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0PP,Yes,53.652463,-2.316743,379162,417376,SD791173,Ramsbottom,"Bury, unparished area",2002-10-01,,137,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0PR,Yes,53.654052,-2.316753,379162,417553,SD791175,Ramsbottom,"Bury, unparished area",1980-01-01,,136,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0PS,Yes,53.654098,-2.316148,379202,417558,SD792175,Ramsbottom,"Bury, unparished area",1980-01-01,,133,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0PT,Yes,53.651701,-2.315996,379211,417291,SD792172,Ramsbottom,"Bury, unparished area",1980-01-01,,135,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0PU,Yes,53.651789,-2.316708,379164,417301,SD791173,Ramsbottom,"Bury, unparished area",1980-01-01,,137,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0PX,Yes,53.652906,-2.315733,379229,417425,SD792174,Ramsbottom,"Bury, unparished area",1993-08-01,,134,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0RJ,Yes,53.665595,-2.298240,380391,418832,SD803188,Ramsbottom,"Bury, unparished area",1980-01-01,,208,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0RX,Yes,53.659042,-2.294819,380614,418102,SD806181,Ramsbottom,"Bury, unparished area",1980-01-01,,226,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0RZ,Yes,53.663338,-2.295941,380542,418580,SD805185,Ramsbottom,"Bury, unparished area",1980-01-01,,214,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0SE,No,53.654509,-2.304079,380000,417600,SD800176,Ramsbottom,"Bury, unparished area",1988-03-01,1994-05-01,171,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0SF,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2009-06-01,2012-04-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0SQ,No,53.654509,-2.304079,380000,417600,SD800176,Ramsbottom,"Bury, unparished area",1990-02-01,1991-12-01,171,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0WA,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2003-09-01,2007-10-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0WW,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2004-03-01,2008-06-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0WX,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2004-03-01,2008-06-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0WY,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2004-01-01,2024-01-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0WZ,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2003-11-01,2006-03-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0XB,Yes,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2003-08-01,,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0YX,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2001-12-01,2008-06-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0YY,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2001-06-01,2006-03-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 0ZW,No,53.592627,-2.310206,379565,410717,SD795107,Bury West,"Bury, unparished area",2003-11-01,2006-03-01,84,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004948,Bury 009B,E01004948,Bury 009B
BL0 9AA,Yes,53.647250,-2.316613,379168,416796,SD791167,Ramsbottom,"Bury, unparished area",1999-12-01,,133,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 9AB,Yes,53.648025,-2.315120,379267,416882,SD792168,Ramsbottom,"Bury, unparished area",1980-01-01,,130,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 9AD,Yes,53.648594,-2.317559,379106,416946,SD791169,Ramsbottom,"Bury, unparished area",1980-01-01,,138,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 9AE,Yes,53.648938,-2.319740,378962,416985,SD789169,Ramsbottom,"Bury, unparished area",1980-01-01,,148,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005016,Bury 001C,E01005016,Bury 001C
BL0 9AF,Yes,53.648292,-2.319373,378986,416913,SD789169,Ramsbottom,"Bury, unparished area",1980-01-01,,148,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 9AG,Yes,53.648478,-2.317878,379085,416933,SD790169,Ramsbottom,"Bury, unparished area",1980-01-01,,139,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 9AH,Yes,53.649345,-2.322179,378801,417031,SD788170,Ramsbottom,"Bury, unparished area",1994-05-01,,165,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005016,Bury 001C,E01005016,Bury 001C
BL0 9AJ,Yes,53.649239,-2.318245,379061,417018,SD790170,Ramsbottom,"Bury, unparished area",1980-01-01,,144,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 9AL,Yes,53.646714,-2.315323,379253,416736,SD792167,Ramsbottom,"Bury, unparished area",1980-01-01,,130,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 9AN,Yes,53.647700,-2.316435,379180,416846,SD791168,Ramsbottom,"Bury, unparished area",1980-01-01,,133,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 9AP,Yes,53.635853,-2.315830,379214,415528,SD792155,Ramsbottom,"Bury, unparished area",1990-07-01,,148,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005020,Bury 003A,E01005020,Bury 003A
BL0 9AQ,Yes,53.648067,-2.316254,379192,416887,SD791168,Ramsbottom,"Bury, unparished area",1980-01-01,,133,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
